date,exercise,weight,s1,s2,s3,s4,notes
2026-05-21,Bulgarian Split Squats,38,12,12,12,,baseline a bit much maybe 11 for sets would be better or eve 10
2026-05-21,Dumbbell Floor Press,38,10,10,10,,baseline
2026-05-21,Pull-Ups,0,13,10,10,,baseline with assistance 3 bands on them written 34kg if its true hard to know
2026-05-21,Dumbbell Rows,25,10,10,10,,baseline 25 per hand
2026-05-21,Dumbbell Curls,9,10,10,10,,baseline one hand 9
2026-05-21,Dumbbell Overhead Press,30,12,12,12,,baseline  a bit much maybe 11 for sets would be better or eve 10
2026-05-21,Dumbbell Lunges,38,12,12,12,,baseline
2026-05-21,Single-Leg Romanian Deadlift,30,10,10,10,,baseline
2026-05-21,Push-Up Ladder,0,16,14,12,10,baseline
2026-05-21,Lateral Raises,5,15,15,15,10,baseline too much reduce maybe 4 or even 3
2026-05-26,Dumbbell Floor Press,44,,,,,deload - felt too easy already. equipment ceiling reached - cannot go heavier at this location. progression via reps or tempo only
2026-05-26,Single-Leg Calf Raise,30,,,,,deload - added 30kg might be slightly much for 4 sets but not sure
2026-06-02,Pull-Ups,0,4,4,4,4,deload unassisted no band